Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
1114,cds2051,CDS,COG0515,1874580,1876589,+,[RTKL] Serine/threonine protein kinase   
1114,cds2052,CDS,NA,1876627,1876815,+,NA
1115,cds2053,CDS,COG0251,1876812,1877192,-,"[J] Putative translation initiation inhibitor, yjgF family"
1115,cds2054,CDS,COG0517,1877217,1878050,-,[R] FOG: CBS domain   
1116,cds2055,CDS,COG1063,1878408,1879490,+,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
1117,acs,CDS,COG0365,1879479,1881437,-,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
1118,cds2057,CDS,COG0038,1881588,1883336,+,[P] Chloride channel protein EriC  
1118,cds2058,CDS,COG2041,1883386,1883985,+,[R] Sulfite oxidase and related enzymes 
1118,cds2059,CDS,COG1833,1883982,1884365,+,[S] Uncharacterized conserved protein   
1119,cds2060,CDS,COG3431,1884336,1884722,-,[S] Predicted membrane protein   
1120,cds2061,CDS,COG4948,1884759,1885946,+,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
1120,cds2062,CDS,COG0329,1885949,1886833,+,[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
1120,cds2063,CDS,COG0524,1886843,1887784,+,"[G] Sugar kinases, ribokinase family  "
1120,cds2064,CDS,COG1012,1887823,1889352,+,[C] NAD-dependent aldehyde dehydrogenases   
1120,cds2065,CDS,COG0530,1889401,1890339,+,[P] Ca2+/Na+ antiporter    
1121,cds2066,CDS,COG0243,1890417,1892159,+,"[C] Anaerobic dehydrogenases, typically selenocysteine-containing  "
1122,cds2067,CDS,ROG8318,1892135,1892470,-,NA
1123,cds2068,CDS,COG2345,1893232,1894029,-,[K] Predicted transcriptional regulator   
1124,cds2069,CDS,NA,1894002,1894232,+,NA
1125,cds2070,CDS,COG3677,1894813,1895025,-,[L] Transposase and inactivated derivatives  
1126,cds2071,CDS,COG0531,1895443,1896990,-,[E] Amino acid transporters   
1127,cds2072,CDS,ROG7958,1897199,1897570,+,NA
1127,cds2073,CDS,COG1052,1897624,1898526,+,[CHR] Lactate dehydrogenase and related dehydrogenases 
1127,cds2074,CDS,COG5440,1898519,1899010,+,[S] Uncharacterized conserved protein   
1127,cds2075,CDS,ROG6235,1899048,1899365,+,NA
1128,cds2076,CDS,COG0531,1899561,1900961,+,[E] Amino acid transporters   
1128,cds2077,CDS,COG0589,1901060,1901452,+,[T] Universal stress protein UspA and related
1129,cds2078,CDS,COG0515,1901469,1903376,-,[RTKL] Serine/threonine protein kinase   
1130,cds2079,CDS,NA,1903432,1904589,+,NA
1131,cds2080,CDS,COG0477,1904722,1906137,+,[GEPR] Permeases of the major facilitator superfamily
1132,cds2081,CDS,COG3385,1906507,1907499,-,[L] FOG: Transposase and inactivated derivatives 
1133,cds2082,CDS,COG0675,1907770,1908975,+,[L] Transposase and inactivated derivatives  
1134,cds2083,CDS,ROG8240,1909367,1909852,+,NA
1135,cds2084,CDS,ROG2647,1909873,1910157,-,NA
1136,cds2085,CDS,ROG1524,1910446,1911405,-,NA
1137,cds2086,CDS,ROG3471,1911807,1912109,+,NA
1138,cds2087,CDS,NA,1912115,1912894,-,NA
1139,cds2088,CDS,COG1848,1913680,1913922,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
1139,cds2089,CDS,COG1848,1913985,1914107,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
1139,cds2090,CDS,NA,1914076,1914207,-,NA
1140,cds2091,CDS,COG3415,1914400,1915333,+,[L] Transposase and inactivated derivatives  
1141,cds2092,CDS,COG1848,1915495,1915971,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
1141,cds2093,CDS,COG2002,1915934,1916233,-,[K] Regulators of stationary/sporulation gene expression 
1142,cds2094,CDS,ROG1176,1916594,1916851,+,NA
1142,cds2095,CDS,COG4113,1916839,1917252,+,"[R] Predicted nucleic acid-binding protein, contains PIN"
1143,cds2096,CDS,NA,1917450,1917992,+,NA
1144,cds2097,CDS,NA,1918126,1918514,-,NA
1145,cds2098,CDS,COG1733,1918687,1919055,-,[K] Predicted transcriptional regulators   
1145,cds2099,CDS,ROG8152,1919097,1920500,-,NA
1146,cds2100,CDS,COG0517,1920634,1921029,-,[R] FOG: CBS domain   
1146,tsaA,CDS,COG1720,1921084,1921491,-,[S] Uncharacterized conserved protein   
1147,cds2102,CDS,COG4555,1921504,1922331,+,"[CP] ABC-type Na+ transport system, ATPase component"
1147,cds2103,CDS,NA,1922312,1923055,+,NA
1148,cds2104,CDS,ROG1742,1922993,1923196,-,NA
1148,cds2105,CDS,NA,1923121,1923309,-,NA
1149,cds2106,CDS,COG1051,1923302,1923781,+,[F] ADP-ribose pyrophosphatase    
1150,cds2107,CDS,COG3385,1923845,1924823,-,[L] FOG: Transposase and inactivated derivatives 
1151,cds2108,CDS,COG0675,1925094,1926299,+,[L] Transposase and inactivated derivatives  
1151,cds2109,CDS,NA,1926316,1926603,+,NA
1152,cds2110,CDS,NA,1926560,1926742,-,NA
1152,cds2111,CDS,NA,1926794,1927161,-,NA
1153,cds2112,CDS,COG0277,1927215,1928294,+,[C] FAD/FMN-containing dehydrogenases    
1153,cds2113,CDS,COG0277,1928367,1929770,+,[C] FAD/FMN-containing dehydrogenases    
1153,cds2114,CDS,COG0247,1929767,1930801,+,[C] Fe-S oxidoreductase    
1154,cds2115,CDS,COG0095,1930787,1931575,-,[H] Lipoate-protein ligase A   
1154,lipA,CDS,COG0320,1931556,1932413,-,[H] Lipoate synthase    
1154,cds2117,CDS,COG0508,1932417,1932662,-,"[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2)"
1155,cds2118,CDS,COG0095,1932697,1933443,+,[H] Lipoate-protein ligase A   
1156,wrbA,CDS,COG0655,1933440,1934033,-,[R] Multimeric flavodoxin WrbA   
1157,cds2120,CDS,NA,1934117,1934425,-,NA
1158,cds2121,CDS,COG3374,1934865,1935471,+,[S] Predicted membrane protein   
1159,cds2122,CDS,NA,1935509,1936588,-,NA
1160,cds2123,CDS,COG1252,1936733,1937755,+,"[C] NADH dehydrogenase, FAD-containing subunit  "
1161,cds2124,CDS,COG0477,1937901,1939154,-,[GEPR] Permeases of the major facilitator superfamily
1162,cds2125,CDS,ROG2783,1939220,1940008,+,NA
1162,cds2126,CDS,COG1960,1940049,1940954,+,[I] Acyl-CoA dehydrogenases    
1163,cds2127,CDS,COG3385,1941104,1942159,+,[L] FOG: Transposase and inactivated derivatives 
1163,cds2128,CDS,NA,1942162,1942443,+,NA
1164,cds2129,CDS,COG1804,1942430,1943554,-,[C] Predicted acyl-CoA transferases/carnitine dehydratase  
1165,cds2130,CDS,NA,1943656,1945002,+,NA
1166,cds2131,CDS,ROG7485,1945031,1946401,-,NA
1167,cds2132,CDS,ROG6695,1946457,1947020,+,NA
1167,cds2133,CDS,ROG6547,1947017,1948662,+,NA
1167,cds2134,CDS,ROG6547,1948655,1949140,+,NA
1167,cds2135,CDS,ROG6547,1949288,1950211,+,NA
1167,cds2136,CDS,ROG7252,1950221,1950724,+,NA
1168,cds2137,CDS,COG2030,1950717,1951202,-,[I] Acyl dehydratase    
1169,cds2138,CDS,COG2002,1951441,1951668,+,[K] Regulators of stationary/sporulation gene expression 
1169,cds2139,CDS,ROG3534,1951628,1952062,+,NA
1169,cds2140,CDS,COG0675,1952109,1952314,+,[L] Transposase and inactivated derivatives  
1170,cds2141,CDS,COG1895,1952449,1952667,+,[S] Uncharacterized conserved protein related to C-terminal
1171,cds2142,CDS,COG0491,1952669,1953298,-,"[R] Zn-dependent hydrolases, including glyoxylases  "
1172,cds2143,CDS,COG0247,1953362,1954261,+,[C] Fe-S oxidoreductase    
1172,cds2144,CDS,COG1139,1954254,1955405,+,[C] Uncharacterized conserved protein containing a ferredoxin-like
1173,cds2145,CDS,COG2211,1955432,1956895,-,[G] Na+/melibiose symporter and related transporters 
1174,cds2146,CDS,COG0675,1957031,1958236,+,[L] Transposase and inactivated derivatives  
1175,cds2147,CDS,ROG1046,1958304,1960250,+,NA
1176,cds2148,CDS,COG1078,1960325,1961548,-,[R] HD superfamily phosphohydrolases   
1177,cds2149,CDS,COG4948,1961642,1962763,+,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
1177,cds2150,CDS,NA,1962799,1964133,+,NA
1178,cds2151,CDS,COG0477,1964130,1965431,-,[GEPR] Permeases of the major facilitator superfamily
1179,cds2152,CDS,COG0477,1965761,1967185,+,[GEPR] Permeases of the major facilitator superfamily
1180,cds2153,CDS,COG3970,1967208,1968092,-,[R] Fumarylacetoacetate (FAA) hydrolase family protein 
1181,cds2154,CDS,COG1012,1968179,1969615,+,[C] NAD-dependent aldehyde dehydrogenases   
1181,cds2155,CDS,COG0596,1969697,1970608,+,[R] Predicted hydrolases or acyltransferases (alpha/beta hydrolase
1182,cds2156,CDS,COG3413,1970725,1971410,+,[R] Predicted DNA binding protein  
1183,cds2157,CDS,COG1028,1972013,1972771,+,[IQR] Dehydrogenases with different specificities (related to
1183,cds2158,CDS,NA,1972768,1973925,+,NA
1183,cds2159,CDS,COG1545,1973922,1974272,+,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
1184,cds2160,CDS,NA,1974273,1974542,-,NA
1185,cds2161,CDS,COG3371,1974646,1975170,-,[S] Predicted membrane protein   
1185,cds2162,CDS,ROG4526,1975214,1975831,-,NA
1185,cds2163,CDS,COG0805,1975882,1976751,-,[U] Sec-independent protein secretion pathway component TatC
1185,cds2164,CDS,COG1826,1976762,1977037,-,[U] Sec-independent protein secretion pathway components 
1186,ilvD,CDS,COG0129,1977258,1978934,+,[EG] Dihydroxyacid dehydratase/phosphogluconate dehydratase   
1186,cds2166,CDS,COG2317,1978965,1980368,+,[E] Zn-dependent carboxypeptidase    
1187,cds2167,CDS,ROG8240,1980460,1980993,-,NA
1188,cds2168,CDS,COG2512,1981061,1981846,-,[S] Uncharacterized membrane-associated protein/domain   
1189,cds2169,CDS,ROG6093,1982534,1983259,+,NA
1189,cds2170,CDS,ROG8152,1983308,1984960,+,NA
1190,cds2171,CDS,ROG4037,1985043,1985783,+,NA
1191,cds2172,CDS,COG3413,1985780,1986442,-,[R] Predicted DNA binding protein  
1191,cds2173,CDS,NA,1986493,1988151,-,NA
1192,cds2174,CDS,COG0675,1988226,1989521,-,[L] Transposase and inactivated derivatives  
1192,cds2175,CDS,COG2452,1989499,1990082,-,[L] Predicted site-specific integrase-resolvase   
1193,cds2176,CDS,COG4555,1990374,1991087,+,"[CP] ABC-type Na+ transport system, ATPase component"
1193,cds2177,CDS,NA,1991053,1992057,+,NA
1194,cds2178,CDS,ROG3743,1992054,1992590,-,NA
1194,cds2179,CDS,NA,1992575,1993486,-,NA
1194,cds2180,CDS,COG3391,1993497,1994717,-,[S] Uncharacterized conserved protein   
1195,cds2181,CDS,COG0425,1995017,1995991,+,"[O] Predicted redox protein, regulator of disulfide"
1195,cds2182,CDS,NA,1996035,1996397,+,NA
1195,cds2183,CDS,ROG1143,1996390,1996725,+,NA
1196,cds2184,CDS,COG0425,1996807,1997055,+,"[O] Predicted redox protein, regulator of disulfide"
1196,cds2185,CDS,COG2391,1997059,1998288,+,[R] Predicted transporter component   
1196,cds2186,CDS,NA,1998288,1998566,+,NA
1196,cds2187,CDS,COG2044,1998563,1998925,+,[R] Predicted peroxiredoxins    
1196,cds2188,CDS,COG4555,1998959,1999834,+,"[CP] ABC-type Na+ transport system, ATPase component"
1196,cds2189,CDS,NA,1999825,2000442,+,NA
1196,cds2190,CDS,NA,2000439,2000825,+,NA
1197,cds2191,CDS,COG3413,2000822,2001487,-,[R] Predicted DNA binding protein  
1198,cds2192,CDS,NA,2001557,2002191,-,NA
1199,cds2193,CDS,ROG2472,2002336,2003607,-,NA
1199,cds2194,CDS,COG0697,2003661,2003933,-,[GER] Permeases of the drug/metabolite transporter (DMT)
1200,cds2195,CDS,COG2002,2004077,2004298,+,[K] Regulators of stationary/sporulation gene expression 
1200,cds2196,CDS,COG1848,2004279,2004683,+,"[R] Predicted nucleic acid-binding protein, contains PIN"
1201,cds2197,CDS,COG3547,2004879,2005232,-,[L] Transposase and inactivated derivatives  
1202,cds2198,CDS,COG0697,2005848,2006702,-,[GER] Permeases of the drug/metabolite transporter (DMT)
1203,cds2199,CDS,COG1131,2007053,2007334,+,"[V] ABC-type multidrug transport system, ATPase component"
1203,cds2200,CDS,COG0842,2007461,2007643,+,"[V] ABC-type multidrug transport system, permease component"
1204,cds2201,CDS,COG0428,2007791,2008552,+,[P] Predicted divalent heavy-metal cations transporter 
1204,cds2202,CDS,COG0329,2008590,2009498,+,[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
1205,cds2203,CDS,COG1878,2009472,2010203,-,[R] Predicted metal-dependent hydrolase   
1206,cds2204,CDS,COG3842,2010323,2011438,-,"[E] ABC-type spermidine/putrescine transport systems, ATPase components"
1206,cds2205,CDS,COG0395,2011444,2012331,-,"[G] ABC-type sugar transport system, permease component"
1206,cds2206,CDS,COG1175,2012338,2013195,-,"[G] ABC-type sugar transport systems, permease components"
1206,cds2207,CDS,ROG7466,2013231,2015094,-,NA
1207,cds2208,CDS,COG0318,2015342,2016883,-,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
1208,cds2209,CDS,COG1957,2017225,2017428,+,[F] Inosine-uridine nucleoside N-ribohydrolase   
1209,cds2210,CDS,NA,2017437,2017625,-,NA
1210,cds2211,CDS,COG1957,2017709,2018439,+,[F] Inosine-uridine nucleoside N-ribohydrolase   
1211,cds2212,CDS,COG3413,2018436,2019173,-,[R] Predicted DNA binding protein  
1212,cds2213,CDS,COG3669,2019279,2020781,+,[G] Alpha-L-fucosidase     
1213,cds2214,CDS,COG1173,2021374,2022345,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1213,cds2215,CDS,COG0601,2022332,2023300,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1214,cds2216,CDS,COG1123,2023517,2025358,+,[R] ATPase components of various ABC-type transport
1215,cds2217,CDS,COG0667,2025440,2026546,-,[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
1216,cds2218,CDS,COG0747,2026684,2028852,+,"[E] ABC-type dipeptide transport system, periplasmic component"
1217,cds2219,CDS,COG2755,2029050,2029655,-,[E] Lysophospholipase L1 and related esterases 
1218,cds2220,CDS,COG1501,2030103,2032184,+,"[G] Alpha-glucosidases, family 31 of glycosyl hydrolases"
1219,cds2221,CDS,COG1082,2032176,2032874,-,[G] Sugar phosphate isomerases/epimerases   
1219,cds2222,CDS,COG0673,2033056,2034171,-,[R] Predicted dehydrogenases and related proteins 
1220,cds2223,CDS,COG0601,2034631,2035743,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1220,cds2224,CDS,COG1173,2035745,2036716,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1220,cds2225,CDS,COG1123,2036713,2037708,+,[R] ATPase components of various ABC-type transport
1220,cds2226,CDS,COG1124,2037701,2038504,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
1220,cds2227,CDS,COG0747,2038659,2040821,+,"[E] ABC-type dipeptide transport system, periplasmic component"
1221,cds2228,CDS,COG1063,2040860,2041966,-,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
1221,cds2229,CDS,COG3386,2042017,2042886,-,[G] Gluconolactonase     
1222,cds2230,CDS,COG4354,2043075,2045531,+,[G] Predicted bile acid beta-glucosidase  
1223,cds2231,CDS,COG4697,2045540,2046901,-,[S] Uncharacterized protein conserved in archaea 
1224,cds2232,CDS,COG3250,2047128,2048837,+,[G] Beta-galactosidase/beta-glucuronidase     
1225,cds2233,CDS,COG0329,2049160,2050068,-,[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
1226,cds2234,CDS,COG1472,2050982,2053246,+,[G] Beta-glucosidase-related glycosidases    
1227,cds2235,CDS,COG1073,2053527,2053763,+,[R] Hydrolases of the alpha/beta superfamily 
1228,cds2236,CDS,COG1082,2053790,2054599,-,[G] Sugar phosphate isomerases/epimerases   
1229,cds2237,CDS,ROG6311,2055048,2055959,-,NA
1230,cds2238,CDS,COG3677,2056030,2056762,-,[L] Transposase and inactivated derivatives  
1231,cds2239,CDS,COG4113,2056886,2057275,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
1231,cds2240,CDS,ROG1176,2057272,2057502,-,NA
1232,cds2241,CDS,ROG1524,2057723,2058682,+,NA
1233,cds2242,CDS,COG3385,2058857,2059219,-,[L] FOG: Transposase and inactivated derivatives 
1234,cds2243,CDS,COG4948,2059407,2059640,-,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
1235,cds2244,CDS,ROG0261,2059936,2062587,+,NA
1236,cds2245,CDS,ROG3685,2062657,2062854,-,NA
1237,cds2246,CDS,NA,2062919,2063144,-,NA
1237,cds2247,CDS,NA,2063152,2063415,-,NA
1237,cds2248,CDS,NA,2063394,2063594,-,NA
1238,cds2249,CDS,COG1501,2063746,2065938,+,"[G] Alpha-glucosidases, family 31 of glycosyl hydrolases"
1238,cds2250,CDS,COG0088,2065971,2067749,+,[J] Ribosomal protein L4   
1239,cds2251,CDS,COG2723,2067746,2069215,-,[G] Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase     
1239,cds2252,CDS,COG2064,2069236,2070369,-,[NU] Flp pilus assembly protein TadC 
1240,cds2253,CDS,COG2159,2070594,2071436,+,[R] Predicted metal-dependent hydrolase of the TIM-barrel
1241,cds2254,CDS,COG0673,2071431,2072498,-,[R] Predicted dehydrogenases and related proteins 
1242,cds2255,CDS,COG0667,2072981,2074006,+,[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
1243,cds2256,CDS,COG0673,2073989,2074948,-,[R] Predicted dehydrogenases and related proteins 
1244,cds2257,CDS,COG1132,2075044,2077635,+,"[V] ABC-type multidrug transport system, ATPase and"
1245,cds2258,CDS,COG0673,2077610,2078704,-,[R] Predicted dehydrogenases and related proteins 
1246,cds2259,CDS,NA,2078890,2080023,-,NA
1247,cds2260,CDS,COG1529,2080102,2082273,-,"[C] Aerobic-type carbon monoxide dehydrogenase, large subunit"
1248,cds2261,CDS,COG0673,2082607,2083836,-,[R] Predicted dehydrogenases and related proteins 
1248,cds2262,CDS,COG3934,2083874,2085658,-,[G] Endo-beta-mannanase     
1249,cds2263,CDS,COG0383,2085645,2088614,+,[G] Alpha-mannosidase     
1249,cds2264,CDS,COG1028,2088615,2089514,+,[IQR] Dehydrogenases with different specificities (related to
1250,cds2265,CDS,COG3677,2089794,2090533,+,[L] Transposase and inactivated derivatives  
1250,cds2266,CDS,COG3677,2090618,2090922,+,[L] Transposase and inactivated derivatives  
1250,cds2267,CDS,COG3316,2091015,2091656,+,[L] Transposase and inactivated derivatives  
1251,cds2268,CDS,COG1063,2091724,2092824,+,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
1252,cds2269,CDS,COG1215,2092999,2094438,+,"[M] Glycosyltransferases, probably involved in cell wall"
1252,cds2270,CDS,COG0459,2094540,2096147,+,[O] Chaperonin GroEL (HSP60 family)  
1252,cds2271,CDS,COG4948,2096193,2097452,+,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
1253,cds2272,CDS,COG1250,2097568,2098722,-,[I] 3-hydroxyacyl-CoA dehydrogenase    
1254,cds2273,CDS,COG1914,2098839,2100023,+,[P] Mn2+ and Fe2+ transporters of the
1255,cds2274,CDS,NA,2100020,2100892,-,NA
1255,cds2275,CDS,NA,2100933,2101505,-,NA
1256,cds2276,CDS,NA,2101635,2102315,+,NA
1256,mvaD,CDS,COG3407,2102334,2103311,+,[I] Mevalonate pyrophosphate decarboxylase   
1257,cds2278,CDS,COG3890,2103321,2104289,-,[I] Phosphomevalonate kinase    
1258,cds2279,CDS,ROG8002,2104341,2104949,+,NA
1259,cds2280,CDS,COG3432,2105139,2105450,+,[K] Predicted transcriptional regulator   
1260,cds2281,CDS,ROG7406,2105412,2105930,-,NA
1261,cds2282,CDS,COG0438,2106195,2107415,+,[M] Glycosyltransferase     
1262,cds2283,CDS,ROG7068,2107378,2108346,-,NA
1262,cds2284,CDS,COG1481,2108392,2108604,-,[S] Uncharacterized protein conserved in bacteria 
1263,cds2285,CDS,COG1090,2108661,2109596,+,[R] Predicted nucleoside-diphosphate sugar epimerase  
1263,cds2286,CDS,ROG2312,2109621,2110007,+,NA
1264,cds2287,CDS,ROG1764,2109993,2110955,-,NA
1265,cds2288,CDS,COG0182,2111008,2112108,+,"[J] Predicted translation initiation factor 2B subunit,"
1265,cds2289,CDS,ROG2590,2112151,2113116,+,NA
1266,cds2290,CDS,ROG3130,2113113,2113520,-,NA
1267,cds2291,CDS,ROG5316,2113643,2113924,+,NA
1268,cds2292,CDS,ROG8318,2113856,2114458,-,NA
1268,cds2293,CDS,COG0843,2114470,2116842,-,"[C] Heme/copper-type cytochrome/quinol oxidases, subunit 1 "
1269,cds2294,CDS,ROG4524,2116952,2117545,-,NA
1270,cds2295,CDS,COG0723,2117686,2118441,+,[C] Rieske Fe-S protein   
1270,cds2296,CDS,COG1290,2118443,2119975,+,[C] Cytochrome b subunit of the bc
1270,cds2297,CDS,COG1622,2119953,2120393,+,"[C] Heme/copper-type cytochrome/quinol oxidases, subunit 2 "
1270,cds2298,CDS,ROG8528,2120395,2120841,+,NA
1271,cds2299,CDS,ROG7744,2121038,2121478,+,NA
1271,cds2300,CDS,ROG6813,2121508,2122266,+,NA
1272,cds2301,CDS,NA,2122357,2124135,-,NA
1273,cds2302,CDS,NA,2124201,2124407,+,NA
1274,cds2303,CDS,ROG8007,2124537,2124788,-,NA
1275,cds2304,CDS,COG3385,2124933,2125988,-,[L] FOG: Transposase and inactivated derivatives 
1276,cds2305,CDS,NA,2126094,2126306,-,NA
1276,cds2306,CDS,ROG8007,2126225,2126788,-,NA
1277,cds2307,CDS,COG0500,2126875,2127456,+,[QR] SAM-dependent methyltransferases    
1278,cds2308,CDS,COG0747,2127952,2130009,+,"[E] ABC-type dipeptide transport system, periplasmic component"
1278,cds2309,CDS,COG0601,2130036,2131097,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1278,cds2310,CDS,COG1173,2131094,2131957,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
1278,cds2311,CDS,COG0444,2131950,2132969,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
1278,cds2312,CDS,COG4608,2132944,2133882,+,"[E] ABC-type oligopeptide transport system, ATPase component"
1279,cds2313,CDS,NA,2134542,2135696,+,NA
1279,cds2314,CDS,COG0717,2135741,2136220,+,[F] Deoxycytidine deaminase    
1280,cds2315,CDS,ROG6687,2136217,2136774,-,NA
1281,cds2316,CDS,NA,2137179,2138098,-,NA
1282,cds2317,CDS,COG0641,2138786,2139673,+,[R] Arylsulfatase regulator (Fe-S oxidoreductase)  
1282,cds2318,CDS,NA,2139654,2140169,+,NA
1283,cds2319,CDS,ROG6568,2140454,2141329,+,NA
1284,cds2320,CDS,COG1848,2141627,2142064,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
1284,cds2321,CDS,COG2002,2142049,2142282,-,[K] Regulators of stationary/sporulation gene expression 
1285,cds2322,CDS,COG2452,2142416,2143000,+,[L] Predicted site-specific integrase-resolvase   
1285,cds2323,CDS,ROG6309,2142978,2143208,+,NA
1285,cds2324,CDS,COG3335,2143226,2144206,+,[L] Transposase and inactivated derivatives  
1286,cds2325,CDS,COG5493,2144329,2145087,-,[S] Uncharacterized conserved protein containing a coiled-coil
1287,cds2326,CDS,NA,2145179,2145444,-,NA
1287,cds2327,CDS,COG1529,2145504,2147561,-,"[C] Aerobic-type carbon monoxide dehydrogenase, large subunit"
1288,cds2328,CDS,COG0179,2147665,2148525,+,"[Q] 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
1289,cds2329,CDS,COG2146,2149045,2149309,+,[PR] Ferredoxin subunits of nitrite reductase and
1289,cds2330,CDS,COG0145,2149315,2151258,+,"[EQ] N-methylhydantoinase A/acetone carboxylase, beta subunit "
1289,cds2331,CDS,COG0146,2151255,2152787,+,"[EQ] N-methylhydantoinase B/acetone carboxylase, alpha subunit "
1290,cds2332,CDS,NA,2153288,2154202,+,NA
1291,cds2333,CDS,ROG3899,2154210,2154401,-,NA
1291,cds2334,CDS,NA,2154438,2155280,-,NA
1291,cds2335,CDS,ROG5496,2155298,2155597,-,NA
1291,sat,CDS,COG2046,2155604,2156824,-,[P] ATP sulfurylase (sulfate adenylyltransferase)  
1292,cds2337,CDS,COG0175,2156925,2157644,+,[EH] 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase
1292,cds2338,CDS,COG0155,2157641,2159536,+,"[P] Sulfite reductase, beta subunit (hemoprotein) "
1292,cobA_2,CDS,COG0007,2159547,2160221,+,[H] Uroporphyrinogen-III methylase    
1292,cds2340,CDS,COG2897,2160337,2161218,+,[P] Rhodanese-related sulfurtransferase    
1292,cds2341,CDS,NA,2161215,2161466,+,NA
1293,cds2342,CDS,COG1252,2161535,2162638,+,"[C] NADH dehydrogenase, FAD-containing subunit  "
1294,cds2343,CDS,COG2146,2162635,2162964,-,[PR] Ferredoxin subunits of nitrite reductase and
1295,cds2344,CDS,COG0491,2163050,2163853,-,"[R] Zn-dependent hydrolases, including glyoxylases  "
1296,cds2345,CDS,ROG3963,2164354,2164920,-,NA
1297,cds2346,CDS,COG0667,2165014,2165928,+,[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
1297,cds2347,CDS,COG0599,2165987,2166424,+,[S] Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit
1297,cds2348,CDS,NA,2166390,2166551,+,NA
1298,cds2349,CDS,COG1917,2166726,2167069,+,"[S] Uncharacterized conserved protein, contains double-stranded beta-helix"
1299,cds2350,CDS,NA,2167026,2167214,-,NA
1300,cds2351,CDS,COG1975,2167815,2168618,+,"[O] Xanthine and CO dehydrogenases maturation factor,"
1300,cds2352,CDS,COG1063,2168650,2169582,+,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
1301,cds2353,CDS,COG1960,2169766,2170968,+,[I] Acyl-CoA dehydrogenases    
1301,cds2354,CDS,COG0318,2171003,2172616,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
1301,cds2355,CDS,COG0183,2172640,2173827,+,[I] Acetyl-CoA acetyltransferase    
1301,cds2356,CDS,COG1545,2173824,2174360,+,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
1301,cds2357,CDS,COG1250,2174367,2175479,+,[I] 3-hydroxyacyl-CoA dehydrogenase    
1302,cds2358,CDS,COG0454,2175487,2175951,-,[KR] Histone acetyltransferase HPA2 and related acetyltransferases
1302,cds2359,CDS,COG0281,2175939,2177237,-,[C] Malic enzyme    
1303,cds2360,CDS,COG0697,2177310,2178134,+,[GER] Permeases of the drug/metabolite transporter (DMT)
1303,cds2361,CDS,COG3370,2178166,2178498,+,[S] Uncharacterized protein conserved in archaea 
1303,cds2362,CDS,NA,2178495,2178836,+,NA
1303,cds2363,CDS,ROG3129,2178897,2179208,+,NA
1304,cds2364,CDS,COG1584,2179238,2179798,-,[S] Predicted membrane protein   
1305,acs_2,CDS,COG0365,2179892,2181892,+,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
1306,cds2366,CDS,COG2050,2181967,2182410,+,"[Q] Uncharacterized protein, possibly involved in aromatic"
1306,cds2367,CDS,ROG0746,2182460,2183860,+,NA
